time,relax,irritable,worry,nervous,future,anhedonia,tired,alone
2023-09-13 00:00:00,3,2,4,3,2,1,3,1
2023-09-13 03:00:00,2,3,3,2,1,2,2,3
2023-09-13 06:00:00,4,1,4,1,3,1,4,2
2023-09-13 09:00:00,2,2,3,2,2,3,1,4
2023-09-13 12:00:00,3,3,2,1,1,4,3,2
2023-09-13 15:00:00,1,4,4,3,2,2,4,1
2023-09-13 18:00:00,2,3,2,4,3,3,2,3
2023-09-13 21:00:00,4,2,3,1,1,4,1,2
2023-09-14 00:00:00,3,1,2,3,2,1,4,4
2023-09-14 03:00:00,1,4,2,2,4,3,3,1
2023-09-14 06:00:00,2,2,3,4,1,2,1,4
2023-09-14 09:00:00,4,3,1,3,3,4,2,3
2023-09-14 12:00:00,1,1,4,1,2,3,3,4
2023-09-14 15:00:00,3,4,2,2,1,2,4,2
2023-09-14 18:00:00,2,2,3,3,4,1,1,1
